Date,Open,High,Low,Close,Volume,Adj Close
9/18/2014,34.74,35.05,34.56,34.96,3979600,34.96
9/17/2014,34.73,34.73,34.16,34.52,5087500,34.52
9/16/2014,34,34.87,33.81,34.8,7113100,34.8
9/15/2014,33.73,34.62,33.7,34.01,6895600,34.01
9/12/2014,32.58,33.76,32.58,33.62,9987500,33.62
9/11/2014,32.17,32.51,32.02,32.5,4188800,32.5
9/10/2014,31.86,32.53,31.81,32.31,4201500,32.31
9/9/2014,31.76,32.21,31.64,31.8,4243800,31.8
9/8/2014,32.33,32.73,31.98,32.14,5301600,31.95
9/5/2014,32.06,32.43,31.64,32.39,3671400,32.2
9/4/2014,31.23,32.5,31.23,32.16,7222500,31.97
9/3/2014,31.4,31.51,31.08,31.23,2998400,31.05
9/2/2014,32.03,32.24,31.17,31.35,4928900,31.16
8/29/2014,32.49,32.75,31.75,31.89,5066100,31.7
8/28/2014,31.51,32.45,31.26,32.24,7569700,32.05
8/27/2014,29.95,31.8,29.92,31.69,16438700,31.5
8/26/2014,30.52,31.07,29.76,29.8,28775200,29.62
8/25/2014,31.43,32.02,31.12,31.99,8048100,31.8
8/22/2014,31.23,31.75,31.01,31.2,4596100,31.02
8/21/2014,31.4,31.62,30.9,31.13,3975100,30.95
8/20/2014,30.61,31.36,30.45,31.34,5543000,31.15
8/19/2014,30.1,30.79,30.06,30.75,4316800,30.57
8/18/2014,29.37,29.94,29.37,29.91,3516400,29.73
8/15/2014,29.69,29.72,28.85,29.19,3779600,29.02
8/14/2014,29.59,29.76,29.25,29.53,1976600,29.36
8/13/2014,29.75,29.79,29.19,29.57,3167800,29.4
8/12/2014,29.64,29.79,29.04,29.46,2945700,29.29
8/11/2014,29.71,30.05,29.61,29.64,2289600,29.46
8/8/2014,29.12,29.74,28.93,29.66,2860500,29.48
8/7/2014,29.83,29.92,28.99,29.03,2722800,28.86
8/6/2014,29.44,29.85,29.15,29.57,2515700,29.4
8/5/2014,29.5,30.04,29.38,29.56,2752600,29.39
8/4/2014,29.13,29.79,29.03,29.7,3390200,29.52
8/1/2014,29.49,29.9,28.92,29.17,3917000,29
7/31/2014,30.46,30.47,29.24,29.73,6448800,29.55
7/30/2014,30.97,31.56,30.65,30.91,3854100,30.73
7/29/2014,31.39,31.5,30.91,30.93,2682500,30.75
7/28/2014,31.17,31.56,30.89,31.55,3412900,31.36
7/25/2014,31.28,31.42,30.93,31.03,2402500,30.85
7/24/2014,30.98,31.5,30.98,31.45,3061700,31.26
7/23/2014,30.9,31.25,30.72,30.9,2465500,30.72
7/22/2014,30.41,31.07,30.22,30.88,4424500,30.7
7/21/2014,29.95,30.23,29.72,30.13,3118300,29.95
7/18/2014,29.71,30.14,29.55,30.09,2542200,29.91
7/17/2014,30.35,30.5,29.49,29.56,4304600,29.39
7/16/2014,29.77,30.77,29.4,30.69,7913000,30.51
7/15/2014,29.44,29.93,29.44,29.71,3275100,29.53
7/14/2014,30.1,30.22,29.29,29.46,5658100,29.29
7/11/2014,30.64,30.69,29.74,29.89,4918600,29.71
7/10/2014,30.85,30.92,30.25,30.49,4315000,30.31
7/9/2014,31.25,31.66,31.23,31.49,2725300,31.3
7/8/2014,31.71,31.72,31.03,31.15,3640000,30.97
7/7/2014,31.92,32.17,31.7,31.77,2737200,31.58
7/3/2014,31.63,32.24,31.53,32.1,3135900,31.91
7/2/2014,31,31.6,31,31.44,2720100,31.25
7/1/2014,31.15,31.54,30.95,30.97,4413700,30.79
6/30/2014,30.96,31.48,30.96,31.01,4868600,30.83
6/27/2014,30.31,31.09,30.2,31.04,4853800,30.86
6/26/2014,30.38,30.57,29.96,30.32,4292300,30.14
6/25/2014,29.08,30.67,28.75,30.56,8041000,30.38
6/24/2014,28.9,29.34,28.79,29.06,3776600,28.89
6/23/2014,28.41,28.63,28.11,28.57,2381000,28.4
6/20/2014,28.93,29.09,28.26,28.31,4606300,28.14
6/19/2014,29.08,29.21,28.76,28.92,2622800,28.75
6/18/2014,29,29.14,28.67,29.11,2390500,28.94
